2025-08-18,Refactor: 코드 정리 및 디버깅 로그 제거
2025-08-18,Fix: 회원가입 이메일 전송 오류 수정
2025-08-18,Fix: 알림 포그라운드 카운트 동시성 이슈 해결결
2025-08-18,Fix: 기타 오류 수정
2025-08-17,Fix: 인트로 이후 로그인 페이지로 이동
2025-08-17,Design: PWA 아이콘 수정
2025-08-17,Design: PWA 아이콘 수정
2025-08-17,Merge remote-tracking branch 'origin/feature/mypage(0806)' into dev
2025-08-17,Fix: 중복 라우트 제거
2025-08-17,Fix: 임시 수정 추후 페이지네이션 적용
2025-08-17,Merge remote-tracking branch 'origin/main' into dev
2025-08-17,Design: 자산 탭 카드 세로 120px 고정
2025-08-17,Revert "Fix: 세로선 안깨지도록 수정정"
2025-08-17,Merge remote-tracking branch 'origin/main' into dev
2025-08-17,Fix: 세로선 안깨지도록 수정정
2025-08-17,Merge remote-tracking branch 'origin/main' into dev
2025-08-17,Fix: 계좌 카드 개표 계좌 설정 해제 둘 다 가능하도록 수정
2025-08-17,Fix: 카드 모달에서 대표 토글 형식으로 해제 가능
2025-08-17,Merge pull request #157 from KB-MoneyBunny/main
2025-08-17,Fix: 관리자 도구 제거
2025-08-17,Fix : 중복 로직 수정정
2025-08-17,Fix: 관리자 페이지 인증 가드드
2025-08-17,Fix: 이미지 경로 하드 코딩 수정
2025-08-17,Merge pull request #156 from KB-MoneyBunny/main
2025-08-17,Fix: 정책 재설정 필드값 비어있어도 가능하도록 수정
2025-08-17,Fix: 정책 재설정 캐시 무효화
2025-08-17,Merge pull request #155 from KB-MoneyBunny/dev
2025-08-17,Merge branch 'main' into dev
2025-08-17,Update main.yml
2025-08-17,Fix: 배포 오류 수정 (커밋 메세지 default 설정)
2025-08-17,Delete directory
2025-08-17,Update vite.config.js
2025-08-17,Merge pull request #153 from KB-MoneyBunny/feature/policy_connect(0731)
2025-08-16,Refactor: 기본 스타일 수정
2025-08-16,Fix: 리뷰 없는 페이지 수정
2025-08-16,Fix: 알림 센터 연동 및 UX 보완
2025-08-16,Merge remote-tracking branch 'origin/dev' into feature/review_page(0810)
2025-08-16,Feat: 관리자 헤더 이스터에그 추가
2025-08-16,Feat: 관리자 페이지 리뷰 관리 구체화 (전체, 개별 조회)
2025-08-16,Merge pull request #149 from KB-MoneyBunny/feature/mypage-link-user(0807)
2025-08-14,fix: 알림 권한 허용 위치 수정
2025-08-14,Fix: PWA 기본 캐시 사이즈 조정
2025-08-13,test: 관리자 페이지
2025-08-12,Merge remote-tracking branch 'origin/dev' into feature/review_page(0810)
2025-08-12,Feat: 조건 미충족 시 리뷰 작성 기능 및 정책 목록 실시간 업데이트
2025-08-12,Refactor: 스토어 캐싱 제거 및 정책 매칭 스토어 개선
2025-08-12,Feat: 리뷰 모달에 삭제 기능 및 혜택 상태별 플레이스홀더 추가
2025-08-12,Feat: 리뷰 작성/수정 시 욕설 필터링 에러 처리
2025-08-12,Feat: 리뷰 조회 API 404 에러 처리 및 좋아요 상태 API 추가
2025-08-12,Feat: 정책 리뷰 페이지에 필터 기능 추가
2025-08-12,Merge remote-tracking branch 'origin/dev' into feature/review_page(0810)
2025-08-12,Refactor: 캐싱 처리로 딜레이 감소
2025-08-12,Feat: 북마크 카드 전체 클릭 시 상세 페이지 이동 #117
2025-08-12,Feat: 후기 작성 모달 구현 #117
2025-08-12,Feat: 혜택 상태 선택 모달 구현 #117
2025-08-12,Feat: 신청 정책 카드 컴포넌트 구현 및 상태별 버튼 로직 추가 #117
2025-08-12,Feat: 신청 정책 목록 및 빈 상태 컴포넌트 구현 #117
2025-08-12,Feat: 마이페이지에 신청 정책 탭 추가 및 기본 탭 변경 #117
2025-08-12,Feat: 신청 정책 관리를 위한 Pinia 스토어 추가 #117
2025-08-12,Merge remote-tracking branch 'origin/dev' into feature/review_page(0810)
2025-08-12,Feat: 리뷰 API 연동
2025-08-12,Merge pull request #120 from KB-MoneyBunny/feature/asset(0808)
2025-08-10,Merge pull request #116 from KB-MoneyBunny/main
2025-08-10,Merge branch 'dev' into main
2025-08-09,fix: 상단 화면색 변경
2025-08-09,fix:  사파리 새로고침 취소 및 카카오 공유 내용만 보정
2025-08-09,fix: 상태바 영역까지 확장 및 IOS 헤더 고정
2025-08-09,fix: IOS 에선 사파리로 이용
2025-08-09,fixL 크롬으로 명시
2025-08-09,feat: 카카오 공유 시 외부 브라우저로 리다이렉트
2025-08-09,fix: 카카오톡 공유 수정 인앱 대신 바로 가기 (딥링크 intent)
2025-08-09,Merge branch 'main' of https://github.com/KB-MoneyBunny/MoneyBunny-frontend
2025-08-09,fix: 모바일 환경 토큰 정리 로직 추가
2025-08-09,Merge pull request #109 from KB-MoneyBunny/dev
2025-08-09,Add files via upload
2025-08-09,fix:  공유 오류 수정
2025-08-09,Add files via upload
2025-08-09,Update manifest.json
2025-08-09,Add files via upload
2025-08-09,Add files via upload
2025-08-09,Add files via upload
2025-08-09,Update index.html
2025-08-09,Merge pull request #108 from KB-MoneyBunny/dev
2025-08-09,Merge pull request #107 from KB-MoneyBunny/main
2025-08-09,Add files via upload
2025-08-09,Merge pull request #106 from KB-MoneyBunny/dev
2025-08-09,Merge pull request #105 from KB-MoneyBunny/feature/notification(0803)
2025-08-09,fix: NavBar 컴포넌트에서 불필요한 클릭 핸들러 제거
2025-08-09,feat: 피드백 알림 확인하기 버튼 및 레이아웃 개선
2025-08-09,feat: 알림 카드 스와이프 삭제 및 타입별 색상 구분
2025-08-09,feat: 알림 스토어 수동 초기화 함수 및 로딩 상태 개선
2025-08-09,feat: 로그아웃 시 FCM 토큰 영구 보존 및 스토어 초기화 개선
2025-08-09,fix: 새로고침 시 FCM 토큰 불필요한 갱신 방지
2025-08-08,feat: 알림 별 색상 수정(성빈 요청) + 스와이프해서 삭제
2025-08-08,fix: 경고 문구 없이 삭제제
2025-08-08,fix: 라우터 이동시 페이지 최상단으로 고정정
2025-08-08,Merge pull request #104 from KB-MoneyBunny/feature/policy_connect(0731)
2025-08-08,Merge remote-tracking branch 'origin/dev' into feature/notification(0803)
2025-08-08,fix: 고쳐쓰
2025-08-08,Merge pull request #101 from KB-MoneyBunny/dev
2025-08-08,Merge remote-tracking branch 'origin/dev' into feature/notification(0803)
2025-08-08,fix: 기타 오류 수정
2025-08-08,Merge remote-tracking branch 'origin/dev' into feature/notification(0803)
